word index,english,hiragana,kanji,date_added,rank,sample,is_active,grade,streak,level,total_attempts,total_successes,total_fails,success_ratio,age,reset
20,scared,こわい,怖い,09/05/2020,1,1,0,N4,10,expert,26.0,23.0,3.0,0.8846153846153846,346,0
21,red,あか,赤,09/05/2020,1,1,0,N5,10,expert,15.0,15.0,0.0,1.0,346,0
22,blue,あお,青,09/05/2020,1,1,0,N5,10,expert,23.0,22.0,1.0,0.9565217391304348,346,0
23,grammar,ぶんぽう,文法,09/05/2020,1,1,0,N4,10,expert,25.0,21.0,4.0,0.84,346,0
24,spicy,からい,辛い,09/05/2020,1,1,0,N5,10,expert,26.0,24.0,2.0,0.9230769230769231,346,0
25,elephant,ぞう,象,09/05/2020,1,1,0,N3,10,expert,21.0,21.0,0.0,1.0,346,0
26,sad,かなしい,悲しい,09/05/2020,1,1,0,N4,10,expert,24.0,21.0,3.0,0.875,346,0
27,lawyer ,べんごし,弁護士,09/05/2020,3,1,0,NX,10,expert,34.0,30.0,4.0,0.8823529411764706,346,0
28,shop,みせ,店,09/05/2020,1,1,0,N5,10,expert,15.0,15.0,0.0,1.0,346,0
29,wife,おくさん,奥さん,09/05/2020,1,1,1,N5,9,expert,31.0,26.0,5.0,0.8387096774193549,346,0
30,plate,さら,皿,09/05/2020,1,1,0,N3,10,expert,20.0,19.0,1.0,0.95,346,0
31,married couple,ふうふ,夫婦,09/05/2020,5,1,1,N3,5,advanced,73.0,50.0,23.0,0.684931506849315,346,1
32,comic book,まんが,漫画,09/05/2020,2,1,1,N4,7,advanced,52.0,43.0,9.0,0.8269230769230769,346,1
